https://www.bloomberg.com/quote/GUKG10:IND
https://www.bloomberg.com/quote/GUKG10:IND
https://www.bloomberg.com/quote/GUKG10:IND
KUK10.YUK10.YKKKKKKUK10.Y
UK10.Y
{'Date': '2017/08/07 16:14 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 16:19 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 16:38 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 16:40 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 16:48 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 16:50 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 17:22 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 17:27 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 17:30 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 17:32 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
{'Date': '2017/08/07 17:37 Mon', 'Price': '1.139', 'Open': '1.175', 'DayH': '1.183', 'DayL': '1.137', '52H': '1.536', '52L': '0.501', 'Volume': '0', 'OpenInterest': '', 'Ticker': 'GUKG10:IND', 'FullName': 'UKGovtBonds10YearNoteGenericBidYield'}
